"","Entity","Year","type","count"
"1","Brazil",2017,"Poultry",15.68
"2","China",2017,"Poultry",4.17
"3","India",2017,"Poultry",0.75
"4","Indonesia",2017,"Poultry",2.42
"5","Japan",2017,"Poultry",7.24
"6","Malaysia",2017,"Poultry",12.95
"7","Spain",2017,"Poultry",12.47
"8","United Kingdom",2017,"Poultry",13.77
"9","United States",2017,"Poultry",19.93
"10","Brazil",2017,"Pork",3.62
"11","China",2017,"Pork",11.35
"12","India",2017,"Pork",0.07
"13","Indonesia",2017,"Pork",0.38
"14","Japan",2017,"Pork",6.01
"15","Malaysia",2017,"Pork",2.14
"16","Spain",2017,"Pork",13.84
"17","United Kingdom",2017,"Pork",7.47
"18","United States",2017,"Pork",8.05
"19","Brazil",2017,"Beef",13.86
"20","China",2017,"Beef",2.11
"21","India",2017,"Beef",0.28
"22","Indonesia",2017,"Beef",1.03
"23","Japan",2017,"Beef",3.63
"24","Malaysia",2017,"Beef",2.55
"25","Spain",2017,"Beef",5.02
"26","United Kingdom",2017,"Beef",6.49
"27","United States",2017,"Beef",12.58
"28","Brazil",2017,"Lamb & Goat",0.23
"29","China",2017,"Lamb & Goat",1.22
"30","India",2017,"Lamb & Goat",0.18
"31","Indonesia",2017,"Lamb & Goat",0.18
"32","Japan",2017,"Lamb & Goat",0.05
"33","Malaysia",2017,"Lamb & Goat",0.29
"34","Spain",2017,"Lamb & Goat",0.68
"35","United Kingdom",2017,"Lamb & Goat",1.43
"36","United States",2017,"Lamb & Goat",0.19
"37","Brazil",2017,"Other Meat",0.68
"38","China",2017,"Other Meat",0.6
"39","India",2017,"Other Meat",0.05
"40","Indonesia",2017,"Other Meat",0
"41","Japan",2017,"Other Meat",0.06
"42","Malaysia",2017,"Other Meat",0
"43","Spain",2017,"Other Meat",0.7
"44","United Kingdom",2017,"Other Meat",1.17
"45","United States",2017,"Other Meat",0.4
"46","Brazil",2017,"Eggs",2.15
"47","China",2017,"Eggs",7.13
"48","India",2017,"Eggs",0.95
"49","Indonesia",2017,"Eggs",1.76
"50","Japan",2017,"Eggs",6.18
"51","Malaysia",2017,"Eggs",5.64
"52","Spain",2017,"Eggs",4.31
"53","United Kingdom",2017,"Eggs",3.48
"54","United States",2017,"Eggs",4.56
"55","Brazil",2017,"Dairy",12.73
"56","China",2017,"Dairy",2.72
"57","India",2017,"Dairy",10.21
"58","Indonesia",2017,"Dairy",1.49
"59","Japan",2017,"Dairy",7.11
"60","Malaysia",2017,"Dairy",2.41
"61","Spain",2017,"Dairy",15.58
"62","United Kingdom",2017,"Dairy",18.39
"63","United States",2017,"Dairy",22.47
"64","Brazil",2017,"Fish",2.46
"65","China",2017,"Fish",9.07
"66","India",2017,"Fish",2.03
"67","Indonesia",2017,"Fish",13.95
"68","Japan",2017,"Fish",16.58
"69","Malaysia",2017,"Fish",16.67
"70","Spain",2017,"Fish",12.34
"71","United Kingdom",2017,"Fish",5.24
"72","United States",2017,"Fish",5.43
