provinsi,pulau,positif,sembuh,meinggal,faskes,kerentanan
Aceh,Sumatera,7252,5037,256,47.08,21.32
Sumatera Utara,Sumatera,12655,10286,523,59.57,32.03
Sumatera Barat,Sumatera,13060,7605,229,39.92,26.32
Riau,Sumatera,13752,9905,307,28.34,25.81
Jambi,Sumatera,1149,521,21,30.8,26.25
Sumatera Selatan,Sumatera,7538,6015,409,22.09,28.22
Bengkulu,Sumatera,995,773,48,46.6,25.37
Kepulauan Bangka Belitung,Sumatera,191,173,2,43.39,25.37
Lampung,Sumatera,1646,941,64,15.75,27.38
Kepulauan Riau,Sumatera,3500,2541,89,41.77,35.57
DKI Jakarta,Jawa,101897,87883,2177,82.05,47.05
Jawa Barat,Jawa,34355,23585,694,15.43,43.59
Jawa Tengah,Jawa,32098,26634,1689,25.74,28.36
Daerah Istimewa Yogyakarta,Jawa,3576,2939,88,51.88,27.49
Jawa Timur,Jawa,51217,45203,3683,26.56,30.67
Banten,Jawa,8914,6835,261,20.63,45.54
Bali,Kepulauan Nusa Tenggara,11455,10285,374,50.1,30.82
Nusa Tenggara Barat,Kepulauan Nusa Tenggara,3884,3156,219,27.78,24.41
Nusa Tenggara Timur,Kepulauan Nusa Tenggara,653,443,7,26.38,24.24
Kalimantan Barat,Kaliantan,1577,1300,12,28.37,26.37
Kalimantan Tengah,Kaliantan,4274,3744,151,30.41,23.22
Kalimantan Selatan,Kaliantan,11650,10481,474,38.49,19.74
Kalimantan Timur,Kaliantan,13225,9959,461,50.42,26.15
Kalimantan Utara,Kaliantan,782,664,7,47.03,20.21
Sulawesi Utara,Sulawesi,5232,4405,195,59.57,32.03
Sulawesi Tengah,Sulawesi,821,590,33,45.58,22.98
Sulawesi Selatan,Sulawesi,17950,15744,451,47.57,25.15
Sulawesi Tenggara,Sulawesi,4675,3392,79,37.42,22.37
Gorontalo,Sulawesi,3003,2838,85,49.91,27.68
Sulawesi Barat,Sulawesi,988,784,12,31.21,18.01
Maluku,Kepulauan Maluku,3739,3083,45,36.77,33.41
Maluku Utara,Kepulauan Maluku,2192,1928,74,45.09,28.12
Papua,Papua,8785,4598,124,43.81,21.45
Papua Barat,Papua,3891,3093,63,53.48,29.99
